CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
09.305.994/0001-29;2024-03-31;1;AZUL S.A.;24112;ITR;137107;2024-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=137107
09.305.994/0001-29;2024-06-30;1;AZUL S.A.;24112;ITR;140739;2024-08-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=140739
09.305.994/0001-29;2024-09-30;1;AZUL S.A.;24112;ITR;143202;2024-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=143202
