CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
09.305.994/0001-29;2025-03-31;1;AZUL S.A.;24112;ITR;147565;2025-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=147565
09.305.994/0001-29;2025-06-30;1;AZUL S.A.;24112;ITR;151354;2025-08-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=151354
09.305.994/0001-29;2025-09-30;1;AZUL S.A.;24112;ITR;153272;2025-11-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=153272
