CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.03.03;Obrigações Fiscais Municipais;44.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04;Empréstimos e Financiamentos;39124.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04;Empréstimos e Financiamentos;37649.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04.01;Empréstimos e Financiamentos;39124.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04.01;Empréstimos e Financiamentos;37649.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04.01.01;Em Moeda Nacional;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04.01.01;Em Moeda Nacional;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04.01.02;Em Moeda Estrangeira;39124.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04.01.02;Em Moeda Estrangeira;37649.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04.02;Debêntures;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04.02;Debêntures;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.04.03;Financiamento por Arrendamento;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2022-03-31;2.01.04.03;Financiamento por Arrendamento;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2021-12-31;2.01.05;Outras Obrigações;0.0;S
