CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01;Caixa Líquido Atividades Operacionais;-47114.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01;Caixa Líquido Atividades Operacionais;-2394.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01;Caixa Gerado nas Operações;-14825.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01;Caixa Gerado nas Operações;-15712.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.01;Lucro Líquido;-2786626.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.01;Lucro Líquido;2667048.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.02;Resultado não realizado com  derivativos;-54032.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.02;Resultado não realizado com  derivativos;-96175.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.03;(Ganho) e perda sobre ativos e passivos denominados em moeda estrangeira;99152.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.03;(Ganho) e perda sobre ativos e passivos denominados em moeda estrangeira;-186759.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.04;Receitas e despesas de juros sobre ativos e passivos;54956.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.04;Receitas e despesas de juros sobre ativos e passivos;55074.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.05;Imposto de renda e contribuição social diferidos;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.05;Imposto de renda e contribuição social diferidos;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.06;Provisão para riscos tributários, cíveis e trabalhistas;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.06;Provisão para riscos tributários, cíveis e trabalhistas;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.07;Resultado de equivalência patrimonial;2665174.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.07;Resultado de equivalência patrimonial;-2454900.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.01.08;Partes relacionadas;6551.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.01.08;Partes relacionadas;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02;Variações nos Ativos e Passivos;-32289.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02;Variações nos Ativos e Passivos;13318.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.01;Contas a receber;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.01;Contas a receber;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.02;Despesas antecipadas;-9862.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.02;Despesas antecipadas;-5429.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.03;Tributos a recuperar;-594.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.03;Tributos a recuperar;240.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.04;Outros ativos;16898.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.04;Outros ativos;1543.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.05;Fornecedores;-34351.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.05;Fornecedores;-2763.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.06;Salários, provisões e encargos sociais;568.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.06;Salários, provisões e encargos sociais;7787.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.07;Prêmios de seguros a pagar;11012.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.07;Prêmios de seguros a pagar;9295.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.08;Tributos a recolher;-15960.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.08;Tributos a recolher;2645.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.02.09;Imposto de renda e contribuição social pagos;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.02.09;Imposto de renda e contribuição social pagos;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.01.03;Outros;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.01.03;Outros;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.02;Caixa Líquido Atividades de Investimento;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.02;Caixa Líquido Atividades de Investimento;0.0;S
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.02.01;Aplicações financeiras circulante;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.02.01;Aplicações financeiras circulante;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2021-01-01;2021-03-31;6.02.02;Resgate de aplicações financeiras circulante;0.0;N
09.305.994/0001-29;2022-03-31;1;AZUL S.A.;24112;DF Individual - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;6.02.02;Resgate de aplicações financeiras circulante;0.0;N
