CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.02.04.02;Seguros de aeronaves;-61786.0;N
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.02.04.02;Seguros de aeronaves;-62781.0;N
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.03;Valor Adicionado Bruto;1368918.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.03;Valor Adicionado Bruto;2862192.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.04;Retenções;-1047999.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.04;Retenções;-468651.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1805553.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1544333.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.04.02;Outras;757554.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.04.02;Outras;1075682.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.04.02.01;Impairment;757554.0;N
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.04.02.01;Impairment;1075682.0;N
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.05;Valor Adicionado Líquido Produzido;320919.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.05;Valor Adicionado Líquido Produzido;2393541.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.06;Vlr Adicionado Recebido em Transferência;-653536.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.06;Vlr Adicionado Recebido em Transferência;149102.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.06.01;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.06.01;Resultado de Equivalência Patrimonial;0.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2020-01-01;2020-12-31;7.06.02;Receitas Financeiras;60298.0;S
09.305.994/0001-29;2021-12-31;1;AZUL S.A.;24112;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2021-01-01;2021-12-31;7.06.02;Receitas Financeiras;154280.0;S
